time	V(n002)	V(n002)/V(n011)	V(n011)
Step Information: Temp=0  (Run: 1/9)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000013351432e-010	-7.428041e+000	6.883263e+003	-1.079145e-003
1.125000015020361e-010	-7.872494e+000	6.510873e+003	-1.209130e-003
2.375000015020361e-010	-7.977236e+000	3.238383e+003	-2.463339e-003
2.531250015020361e-010	-7.984798e+000	3.047859e+003	-2.619806e-003
3.000000015020360e-010	-7.996278e+000	2.588998e+003	-3.088561e-003
3.000305190801610e-010	-7.996283e+000	2.588744e+003	-3.088866e-003
3.007629409551611e-010	-7.996377e+000	2.582655e+003	-3.096184e-003
3.009155288457862e-010	-7.996396e+000	2.581390e+003	-3.097709e-003
3.009460464239112e-010	-7.996399e+000	2.581137e+003	-3.098014e-003
3.009863096465440e-010	-7.996405e+000	2.580804e+003	-3.098416e-003
3.027524322797460e-010	-7.996618e+000	2.566259e+003	-3.116061e-003
3.052853588573355e-010	-7.996899e+000	2.545677e+003	-3.141364e-003
3.086625942941215e-010	-7.997230e+000	2.518736e+003	-3.175096e-003
3.154170651676934e-010	-7.997771e+000	2.466512e+003	-3.242543e-003
3.289260069148372e-010	-7.998627e+000	2.368282e+003	-3.377396e-003
3.323032423516232e-010	-7.998789e+000	2.344930e+003	-3.411099e-003
3.390577132251951e-010	-7.999023e+000	2.299575e+003	-3.478479e-003
3.525666549723389e-010	-7.999398e+000	2.213937e+003	-3.613201e-003
3.559438904091249e-010	-7.999471e+000	2.193516e+003	-3.646872e-003
3.567881992683214e-010	-7.999486e+000	2.188469e+003	-3.655288e-003
3.584768169867144e-010	-7.999515e+000	2.178447e+003	-3.672119e-003
3.618540524235003e-010	-7.999568e+000	2.158674e+003	-3.705779e-003
3.626983612826968e-010	-7.999581e+000	2.153787e+003	-3.714193e-003
3.643869790010898e-010	-7.999604e+000	2.144080e+003	-3.731020e-003
3.677642144378758e-010	-7.999646e+000	2.124927e+003	-3.764669e-003
3.745186853114477e-010	-7.999715e+000	2.087635e+003	-3.831950e-003
3.880276270585915e-010	-7.999810e+000	2.016873e+003	-3.966441e-003
4.150455105528792e-010	-7.999930e+000	1.888884e+003	-4.235267e-003
4.217999814264511e-010	-7.999947e+000	1.859402e+003	-4.302430e-003
4.353089231735949e-010	-7.999966e+000	1.803141e+003	-4.436683e-003
4.386861586103809e-010	-7.999970e+000	1.789608e+003	-4.470236e-003
4.454406294839528e-010	-7.999975e+000	1.763151e+003	-4.537316e-003
4.589495712310966e-010	-7.999983e+000	1.712543e+003	-4.671406e-003
4.859674547253844e-010	-7.999991e+000	1.619660e+003	-4.939301e-003
5.400032217139598e-010	-7.999997e+000	1.461329e+003	-5.474468e-003
5.535121634611036e-010	-7.999998e+000	1.426512e+003	-5.608082e-003
5.805300469553912e-010	-7.999998e+000	1.361725e+003	-5.874901e-003
6.345658139439666e-010	-7.999998e+000	1.248451e+003	-6.407941e-003
6.480747556911104e-010	-7.999998e+000	1.223050e+003	-6.541025e-003
6.750926391853981e-010	-7.999998e+000	1.175298e+003	-6.806785e-003
7.291284061739735e-010	-7.999998e+000	1.090334e+003	-7.337200e-003
8.371999401511243e-010	-7.999998e+000	9.528833e+002	-8.395569e-003
8.642178236454120e-010	-7.999998e+000	9.238444e+002	-8.659464e-003
9.317625323811312e-010	-7.999998e+000	8.585847e+002	-9.317657e-003
1.012816182863994e-009	-7.999998e+000	7.917325e+002	-1.010442e-002
1.147905600335433e-009	-7.999998e+000	7.010676e+002	-1.141116e-002
1.268641767200531e-009	-7.999998e+000	6.363142e+002	-1.257240e-002
1.457766951660545e-009	-7.999998e+000	5.564240e+002	-1.437752e-002
1.673910019614846e-009	-7.999998e+000	4.871890e+002	-1.642073e-002
2.024504024616023e-009	-7.999998e+000	4.058816e+002	-1.971017e-002
2.157147033511384e-009	-7.999998e+000	3.820439e+002	-2.093999e-002
2.334004378705199e-009	-7.999998e+000	3.545276e+002	-2.256523e-002
2.698772653167441e-009	-7.999998e+000	3.089383e+002	-2.589513e-002
2.765094157615122e-009	-7.999998e+000	3.019567e+002	-2.649385e-002
2.853522830212029e-009	-7.999998e+000	2.931581e+002	-2.728903e-002
3.030380175405844e-009	-7.999998e+000	2.771162e+002	-2.886875e-002
3.384094865793474e-009	-7.999997e+000	2.500227e+002	-3.199708e-002
3.746327113103812e-009	-7.999997e+000	2.274552e+002	-3.517175e-002
3.787031482088166e-009	-7.999997e+000	2.251961e+002	-3.552458e-002
3.825867159899428e-009	-7.999997e+000	2.230869e+002	-3.586045e-002
3.854111289216708e-009	-7.999997e+000	2.215802e+002	-3.610430e-002
3.917550251550445e-009	-7.999997e+000	2.182727e+002	-3.665138e-002
3.955282643060249e-009	-7.999997e+000	2.163562e+002	-3.697604e-002
3.973817852924713e-009	-7.999997e+000	2.154281e+002	-3.713534e-002
3.981420966231007e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981420986432783e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981420989799745e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981420992799746e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981420997799746e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981421005250326e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981421031327359e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981421076030842e-009	-7.999997e+000	2.150499e+002	-3.720066e-002
3.981422439487091e-009	-7.999997e+000	2.150498e+002	-3.720067e-002
3.981422465564124e-009	-7.999997e+000	2.150498e+002	-3.720067e-002
3.981422517718188e-009	-7.999997e+000	2.150498e+002	-3.720067e-002
3.993873674692027e-009	-7.999997e+000	2.144335e+002	-3.730758e-002
4.005592424692027e-009	-7.999997e+000	2.138571e+002	-3.740815e-002
4.021217424692028e-009	-7.999997e+000	2.130938e+002	-3.754215e-002
4.052467424692028e-009	-7.999997e+000	2.115851e+002	-3.780983e-002
4.114967424692027e-009	-7.999997e+000	2.086378e+002	-3.834395e-002
4.239967424692028e-009	-7.999997e+000	2.030084e+002	-3.940723e-002
4.489967424692027e-009	-7.999997e+000	1.927049e+002	-4.151425e-002
4.989967424692028e-009	-7.999997e+000	1.751673e+002	-4.567060e-002
5.520028241736147e-009	-7.999997e+000	1.600241e+002	-4.999245e-002
6.227729585945307e-009	-7.999997e+000	1.438162e+002	-5.562652e-002
6.962370090207820e-009	-7.999997e+000	1.303695e+002	-6.136400e-002
6.988981737814170e-009	-7.999997e+000	1.299370e+002	-6.156826e-002
7.110634984014627e-009	-7.999997e+000	1.280086e+002	-6.249578e-002
7.197330742232190e-009	-7.999997e+000	1.266741e+002	-6.315415e-002
7.277165685051238e-009	-7.999997e+000	1.254733e+002	-6.375854e-002
7.368405619701579e-009	-7.999997e+000	1.241338e+002	-6.444658e-002
7.490058865902034e-009	-7.999997e+000	1.224000e+002	-6.535943e-002
7.740968686190474e-009	-7.999997e+000	1.189867e+002	-6.723435e-002
7.847415276615871e-009	-7.999997e+000	1.176070e+002	-6.802313e-002
7.969068522816327e-009	-7.999997e+000	1.160739e+002	-6.892156e-002
7.999481834366440e-009	-7.999997e+000	1.156979e+002	-6.914558e-002
8.060308457466667e-009	-7.999997e+000	1.149553e+002	-6.959226e-002
8.181961703667123e-009	-7.999997e+000	1.135042e+002	-7.048196e-002
8.425268196068034e-009	-7.999997e+000	1.107318e+002	-7.224658e-002
8.911881180869856e-009	-7.999997e+000	1.056548e+002	-7.571824e-002
9.885107150473499e-009	-7.999996e+000	9.703719e+001	-8.244258e-002
1.183155908968078e-008	-7.999996e+000	8.399891e+001	-9.523929e-002
1.423408548023180e-008	-7.999996e+000	7.254856e+001	-1.102709e-001
1.466103971706704e-008	-7.999996e+000	7.090476e+001	-1.128273e-001
1.498125539469346e-008	-7.999996e+000	6.975490e+001	-1.146872e-001
1.626211810519917e-008	-7.999995e+000	6.562563e+001	-1.219035e-001
1.839688928937536e-008	-7.999995e+000	5.994538e+001	-1.334547e-001
1.925079776304584e-008	-7.999995e+000	5.804686e+001	-1.378196e-001
2.095861471038679e-008	-7.999995e+000	5.472233e+001	-1.461925e-001
2.437424860506868e-008	-7.999994e+000	4.947816e+001	-1.616874e-001
3.120551639443248e-008	-7.999993e+000	4.235030e+001	-1.889005e-001
4.486805197316007e-008	-7.999991e+000	3.400203e+001	-2.352798e-001
5.796928348857338e-008	-7.999989e+000	2.930641e+001	-2.729774e-001
7.528047315159075e-008	-7.999986e+000	2.530962e+001	-3.160848e-001
9.249094895418542e-008	-7.999984e+000	2.254445e+001	-3.548539e-001
1.166768393468186e-007	-7.999980e+000	1.970621e+001	-4.059625e-001
1.199860692667193e-007	-7.999979e+000	1.938450e+001	-4.126997e-001
1.266045291065205e-007	-7.999979e+000	1.878782e+001	-4.258067e-001
1.398414487861230e-007	-7.999976e+000	1.772102e+001	-4.514399e-001
1.663152881453280e-007	-7.999972e+000	1.594825e+001	-5.016208e-001
1.680927673792539e-007	-7.999972e+000	1.584474e+001	-5.048978e-001
1.736166943188937e-007	-7.999971e+000	1.553476e+001	-5.149723e-001
1.810168119458505e-007	-7.999970e+000	1.514246e+001	-5.283138e-001
1.847894209321422e-007	-7.999969e+000	1.495208e+001	-5.350407e-001
1.878365281903009e-007	-7.999969e+000	1.480263e+001	-5.404423e-001
1.896538493541511e-007	-7.999969e+000	1.471536e+001	-5.436475e-001
1.910881322627765e-007	-7.999968e+000	1.464744e+001	-5.461684e-001
1.979002365841878e-007	-7.999967e+000	1.433566e+001	-5.580466e-001
1.999316414229603e-007	-7.999967e+000	1.424611e+001	-5.615543e-001
2.022532469529859e-007	-7.999967e+000	1.414571e+001	-5.655403e-001
2.068964580130373e-007	-7.999966e+000	1.395004e+001	-5.734724e-001
