time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000013351432e-010	-7.427530e+000	8.947542e+003	-8.301196e-004
1.125000015020361e-010	-7.871979e+000	8.509793e+003	-9.250495e-004
2.375000015020361e-010	-7.977153e+000	4.461746e+003	-1.787899e-003
2.531250015020361e-010	-7.984747e+000	4.214521e+003	-1.894580e-003
3.000000015020360e-010	-7.996174e+000	3.614540e+003	-2.212225e-003
3.021972671270360e-010	-7.996532e+000	3.590599e+003	-2.227075e-003
3.044250503301611e-010	-7.996789e+000	3.566641e+003	-2.242106e-003
3.045166030645361e-010	-7.996799e+000	3.565663e+003	-2.242724e-003
3.045471206426611e-010	-7.996802e+000	3.565338e+003	-2.242930e-003
3.046052360502706e-010	-7.996809e+000	3.564717e+003	-2.243322e-003
3.046142355214265e-010	-7.996809e+000	3.564621e+003	-2.243383e-003
3.069473484185882e-010	-7.997056e+000	3.539899e+003	-2.259120e-003
3.098271791884696e-010	-7.997338e+000	3.509854e+003	-2.278539e-003
3.131029866892095e-010	-7.997625e+000	3.476293e+003	-2.300619e-003
3.142549189971620e-010	-7.997717e+000	3.464644e+003	-2.308381e-003
3.165587836130671e-010	-7.997888e+000	3.441579e+003	-2.323901e-003
3.215984874603593e-010	-7.998234e+000	3.392184e+003	-2.357842e-003
3.241903351532525e-010	-7.998385e+000	3.367330e+003	-2.375290e-003
3.282220982310863e-010	-7.998597e+000	3.329389e+003	-2.402422e-003
3.316778951549438e-010	-7.998755e+000	3.297544e+003	-2.425670e-003
3.322538613089201e-010	-7.998780e+000	3.292296e+003	-2.429544e-003
3.334057936168726e-010	-7.998827e+000	3.281851e+003	-2.437292e-003
3.362136286175068e-010	-7.998937e+000	3.256666e+003	-2.456174e-003
3.379415270794356e-010	-7.998999e+000	3.241361e+003	-2.467790e-003
3.402453916953407e-010	-7.999074e+000	3.221177e+003	-2.483276e-003
3.448531209271507e-010	-7.999204e+000	3.181561e+003	-2.514239e-003
3.540685793907708e-010	-7.999404e+000	3.105205e+003	-2.576127e-003
3.725714920872581e-010	-7.999707e+000	2.962502e+003	-2.700321e-003
3.752353355493983e-010	-7.999732e+000	2.943041e+003	-2.718186e-003
3.772512170883152e-010	-7.999751e+000	2.928484e+003	-2.731704e-003
3.795550817042202e-010	-7.999769e+000	2.912025e+003	-2.747150e-003
3.841628109360302e-010	-7.999801e+000	2.879661e+003	-2.778036e-003
3.933782693996503e-010	-7.999856e+000	2.817059e+003	-2.839790e-003
3.956821340155554e-010	-7.999867e+000	2.801835e+003	-2.855224e-003
4.002898632473654e-010	-7.999887e+000	2.771882e+003	-2.886084e-003
4.014417955553179e-010	-7.999891e+000	2.764495e+003	-2.893799e-003
4.037456601712230e-010	-7.999899e+000	2.749838e+003	-2.909225e-003
4.043216263251992e-010	-7.999901e+000	2.746199e+003	-2.913082e-003
4.054735586331518e-010	-7.999905e+000	2.738949e+003	-2.920794e-003
4.077774232490568e-010	-7.999912e+000	2.724565e+003	-2.936216e-003
4.123851524808668e-010	-7.999924e+000	2.696252e+003	-2.967054e-003
4.216006109444869e-010	-7.999943e+000	2.641377e+003	-3.028701e-003
4.400315278717272e-010	-7.999966e+000	2.538153e+003	-3.151885e-003
4.768933617262076e-010	-7.999986e+000	2.354449e+003	-3.397817e-003
5.506170294351686e-010	-7.999999e+000	2.057161e+003	-3.888853e-003
5.529208940510737e-010	-7.999999e+000	2.049088e+003	-3.904175e-003
5.575286232828837e-010	-7.999999e+000	2.033147e+003	-3.934787e-003
5.586805555908363e-010	-7.999999e+000	2.029201e+003	-3.942438e-003
5.609844202067413e-010	-7.999998e+000	2.021355e+003	-3.957740e-003
5.667440817465039e-010	-7.999998e+000	2.002007e+003	-3.995989e-003
5.736556755942190e-010	-7.999998e+000	1.979281e+003	-4.041870e-003
5.788393709800054e-010	-7.999998e+000	1.962577e+003	-4.076271e-003
5.857509648277204e-010	-7.999998e+000	1.940747e+003	-4.122122e-003
5.949664232913405e-010	-7.999998e+000	1.912399e+003	-4.183226e-003
6.133973402185807e-010	-7.999998e+000	1.858163e+003	-4.305325e-003
6.502591740730612e-010	-7.999998e+000	1.758590e+003	-4.549098e-003
7.239828417820222e-010	-7.999998e+000	1.588895e+003	-5.034945e-003
8.759253320513066e-010	-7.999998e+000	1.326070e+003	-6.032862e-003
9.460283422332683e-010	-7.999998e+000	1.232634e+003	-6.490167e-003
1.000826420421305e-009	-7.999998e+000	1.168524e+003	-6.846241e-003
1.110422576797380e-009	-7.999998e+000	1.058938e+003	-7.554736e-003
1.340301422804661e-009	-7.999998e+000	8.856233e+002	-9.033184e-003
1.496424994578873e-009	-7.999998e+000	7.979084e+002	-1.002621e-002
1.710729643401295e-009	-7.999998e+000	7.031684e+002	-1.137707e-002
1.905925852389588e-009	-7.999998e+000	6.351756e+002	-1.259494e-002
1.991418118430654e-009	-7.999998e+000	6.095602e+002	-1.312421e-002
2.105407806485408e-009	-7.999998e+000	5.786361e+002	-1.382561e-002
2.333387182594917e-009	-7.999998e+000	5.256103e+002	-1.522040e-002
2.390382026622294e-009	-7.999998e+000	5.139131e+002	-1.556683e-002
2.504371714677048e-009	-7.999998e+000	4.921706e+002	-1.625452e-002
2.732351090786557e-009	-7.999998e+000	4.539666e+002	-1.762244e-002
2.789345934813934e-009	-7.999998e+000	4.453792e+002	-1.796222e-002
2.903335622868689e-009	-7.999997e+000	4.292595e+002	-1.863674e-002
3.131314998978197e-009	-7.999997e+000	4.004282e+002	-1.997861e-002
3.185219590249631e-009	-7.999997e+000	3.942070e+002	-2.029390e-002
3.338510771677770e-009	-7.999997e+000	3.776213e+002	-2.118524e-002
3.468218694424656e-009	-7.999997e+000	3.647267e+002	-2.193422e-002
3.602980172603240e-009	-7.999997e+000	3.523066e+002	-2.270749e-002
3.704051281237178e-009	-7.999997e+000	3.435858e+002	-2.328384e-002
3.811860463780045e-009	-7.999997e+000	3.348002e+002	-2.389484e-002
4.027478828865779e-009	-7.999997e+000	3.185832e+002	-2.511117e-002
4.043106731614154e-009	-7.999997e+000	3.174735e+002	-2.519894e-002
4.074362537110904e-009	-7.999997e+000	3.152856e+002	-2.537381e-002
4.136874148104403e-009	-7.999997e+000	3.110050e+002	-2.572305e-002
4.173502045170906e-009	-7.999997e+000	3.085560e+002	-2.592721e-002
4.206528199025873e-009	-7.999997e+000	3.063845e+002	-2.611097e-002
4.225574705500455e-009	-7.999997e+000	3.051476e+002	-2.621681e-002
